id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	593	-2.55E-66	3.66E-06	0.00495	1	0	0	4.23E-63	3.66E-06	0.00495	1	0	0
IRF6	4	0.99523	0.99547	0.998695	1346	0	0.39152	3.19E-05	0.00010627	0.057756	2	3	0.39152
TNFAIP3	4	0.70967	0.71032	0.996523	939	0	0.38843	3.73E-05	0.00012825	0.057756	3	3	0.38843
HLA-DQB1	4	0.99966	0.9997	0.999696	1351	0	0.2784	0.00034102	0.0015427	0.446535	4	4	0.2784
ZNF891	4	0.82944	0.83147	0.996523	1101	0	0.018876	0.00036998	0.0016526	0.446535	5	1	0.018876
GSC	4	0.76192	0.76281	0.996523	1015	0	0.3089	0.00092825	0.00369	0.812588	6	3	0.3089
RREB1	4	0.33195	0.35456	0.996523	472	1	0.14527	0.0011096	0.0042103	0.812588	7	2	0.14527
RORA	4	0.86113	0.86234	0.996523	1143	0	0.30418	0.0013369	0.0048845	0.824876	8	2	0.30418
PTEN	4	0.97801	0.97794	0.996523	1325	0	0.22822	0.0017174	0.0058959	0.84604	9	3	0.22822
ZNF768	4	0.79712	0.79905	0.996523	1065	0	0.20352	0.0018489	0.0062623	0.84604	10	1	0.20352
NFIA	4	0.8992	0.89994	0.996523	1195	0	0.03499	0.0025877	0.0081971	0.941308	11	1	0.03499
ZNF384	4	0.90865	0.90878	0.996523	1208	0	0.19033	0.0032346	0.0098387	0.941308	12	2	0.19033
HIC2	4	0.058964	0.10539	0.954076	144	1	-0.08371	0.0033261	0.010037	0.941308	13	1	-0.08371
JDP2	4	0.97066	0.97072	0.996523	1310	0	0.22054	0.003646	0.010887	0.941308	14	2	0.22054
TBX1	4	0.85687	0.85838	0.996523	1139	0	0.19913	0.0040641	0.011898	0.941308	15	3	0.19913
WT1	4	0.069525	0.12113	0.954076	169	1	0.21405	0.0041783	0.012213	0.941308	16	3	0.21405
DPRX	4	0.92627	0.92662	0.996523	1241	0	0.15401	0.0044228	0.012873	0.941308	17	2	0.15401
ZNF442	4	0.62858	0.6293	0.996523	834	0	0.036181	0.0048017	0.013738	0.941308	18	1	0.036181
JAK3	4	0.94287	0.94277	0.996523	1268	0	0.34066	0.0054407	0.015474	0.941308	19	3	0.34066
