sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_5393_r0	ZNF891	19.87	279.48	19.87	279.48	3.7484	33699	138.84	22.033	1	7.3384e-108	1.4677e-107	8.8061e-104	True
s_1716_r0	RREB1	5.419	49.188	5.419	49.188	2.9669	957.88	37.865	7.113	1	7.0031e-13	1.4006e-12	4.2018e-09	True
s_3314_r0	IL22	242.05	34.655	242.05	34.655	-2.7691	21506	1691.3	5.0447	2.2717e-07	1	4.5433e-07	0.00084427	False
s_4986_r0	ZNF707	279.08	58.132	279.08	58.132	-2.2438	24409	1950	5.0035	2.8142e-07	1	5.6285e-07	0.00084427	False
s_956_r0	HSF2	152.64	2.2358	152.64	2.2358	-5.5692	11310	1066.5	4.8622	5.8054e-07	1	1.1611e-06	0.0013933	False
s_3921_r0	ZNF768	11.741	54.778	11.741	54.778	2.1302	926.08	82.04	4.7514	1	1.1189e-06	2.2378e-06	0.0022378	True
s_1341_r0	NFIA	65.932	165.45	65.932	165.45	1.3143	4952.1	460.69	4.6367	1	1.7721e-06	3.5442e-06	0.0026819	True
s_3092_r0	HIC2	70.447	173.28	70.447	173.28	1.2864	5287	492.24	4.6348	1	1.7879e-06	3.5758e-06	0.0026819	True
s_140_r0	CD1A	195.09	29.066	195.09	29.066	-2.7053	13781	1363.1	4.5006	3.3882e-06	1	6.7764e-06	0.0044085	False
s_3492_r0	BATF3	358.56	134.15	358.56	134.15	-1.4117	25180	2505.4	4.4834	3.6738e-06	1	7.3475e-06	0.0044085	False
s_3691_r0	ZNF410	231.21	52.542	231.21	52.542	-2.1167	15961	1615.6	4.4454	4.3864e-06	1	8.7728e-06	0.0047851	False
s_1949_r0	TBX1	114.7	239.23	114.7	239.23	1.054	7754	801.47	4.3988	0.99999	5.4425e-06	1.0885e-05	0.0054425	True
