id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	1186	4.624e-136	8.5616e-09	1e-06	1	0	0.0	-7.6652e-111	8.5616e-09	1e-06	1	0	0.0
TNFAIP3	8	0.13154	0.2617	1.0	104	1	0.6755	4.4231e-18	8.5616e-09	1e-06	2	7	0.6755
ZFP36	8	1.0	1.0	1.0	583	0	0.54941	8.9636e-18	8.5616e-09	1e-06	3	8	0.54941
DUSP1	8	1.0	1.0	1.0	584	0	0.28964	1.4069e-17	8.5616e-09	1e-06	4	8	0.28964
MITF	8	1.0	1.0	1.0	582	0	0.28457	1.2882e-12	8.5616e-09	1e-06	5	8	0.28457
FOS	8	0.98558	0.98556	1.0	556	0	0.16623	5.669e-11	8.5616e-09	1e-06	6	7	0.16623
RC3H1	8	0.99999	0.99999	1.0	581	0	0.12971	9.5679e-06	6.0513e-05	0.005049	7	6	0.12971
POLR2L	8	0.92958	0.92959	1.0	496	0	0.073916	2.2576e-05	0.00014314	0.010449	8	6	0.073916
ADO	8	0.99641	0.99641	1.0	570	0	0.10102	5.6787e-05	0.00032907	0.021353	9	6	0.10102
NFKB1	8	0.99223	0.99222	1.0	564	0	0.076612	6.667e-05	0.00037962	0.02161	10	6	0.076612
CHUK	8	0.98463	0.98461	1.0	554	0	0.056668	7.1974e-05	0.00040703	0.02161	11	4	0.056668
MYCBP2	8	0.99989	0.99989	1.0	580	0	0.10177	9.489e-05	0.00052675	0.025635	12	6	0.10177
CYLD	8	0.99718	0.99718	1.0	572	0	0.060569	0.00030518	0.0016001	0.071882	13	6	0.060569
REL	8	0.96906	0.96904	1.0	542	0	0.062711	0.00056771	0.0027938	0.116541	14	4	0.062711
EIF2AK2	8	0.98967	0.98965	1.0	561	0	0.065965	0.0010761	0.004829	0.178657	15	5	0.065965
SLITRK4	8	0.78374	0.78406	1.0	393	1	-0.0051151	0.0010922	0.0048947	0.178657	16	3	-0.0051151
RABGGTA	8	0.96066	0.96065	1.0	529	0	0.051336	0.0014472	0.0062964	0.216301	17	4	0.051336
RHOA	8	0.54179	0.62197	1.0	281	1	0.040338	0.0036492	0.014726	0.477788	18	4	0.040338
ACVR1B	8	0.99783	0.99784	1.0	573	0	0.054299	0.0040753	0.016319	0.501594	19	5	0.054299
JUNB	8	0.99368	0.99367	1.0	566	0	0.062596	0.0046449	0.018417	0.537773	20	4	0.062596
LEO1	8	0.4128	0.55029	1.0	237	2	0.053749	0.0056015	0.021164	0.588568	21	4	0.053749
