sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2038_r1	TNFAIP3	20176	1.818e+05	20176	1.818e+05	3.1716	1.3062e+10	2.8195e+05	304.39	1	0	0	0	True
s_2035_r0	TNF	7222.1	1820.1	7222.1	1820.1	-1.9878	1.459e+07	79067	19.211	1.4973e-82	1	2.9946e-82	8.7591e-79	False
s_2035_r1	TNF	7135.5	1843.7	7135.5	1843.7	-1.9519	1.4002e+07	77898	18.96	1.8225e-80	1	3.645e-80	7.1078e-77	False
s_2033_r0	TNF	9538.2	3824.6	9538.2	3824.6	-1.3182	1.6323e+07	1.115e+05	17.111	6.1589e-66	1	1.2318e-65	1.8015e-62	False
s_2033_r1	TNF	9277.5	3874	9277.5	3874	-1.2597	1.4599e+07	1.0774e+05	16.462	3.4538e-61	1	6.9076e-61	8.0819e-58	False
s_2040_r1	TNFAIP3	3686.2	6520.7	3686.2	6520.7	0.8227	4.017e+06	34504	15.259	1	7.1518e-53	1.4304e-52	1.3946e-49	True
s_1233_r1	MITF	2672.2	4629	2672.2	4629	0.79244	1.9146e+06	23229	12.839	1	4.9598e-38	9.9195e-38	8.2899e-35	True
s_2040_r0	TNFAIP3	3939	6396	3939	6396	0.69921	3.0185e+06	37439	12.698	1	3.0174e-37	6.0349e-37	4.413e-34	True
s_2034_r0	TNF	2944	960.16	2944	960.16	-1.6154	1.9679e+06	26167	12.264	7.041e-35	1	1.4082e-34	9.1533e-32	False
s_2034_r1	TNF	2826.4	938.66	2826.4	938.66	-1.5893	1.7817e+06	24887	11.966	2.6755e-33	1	5.3511e-33	3.1304e-30	False
s_1234_r1	MITF	4334.9	6706.3	4334.9	6706.3	0.62941	2.8118e+06	42127	11.554	1	3.5232e-31	7.0463e-31	3.7474e-28	True
s_2230_r0	ZFP36	3092	4951.1	3092	4951.1	0.67902	1.728e+06	27793	11.151	1	3.5298e-29	7.0596e-29	3.4416e-26	True
s_2039_r1	TNFAIP3	3459	5435.1	3459	5435.1	0.65178	1.9524e+06	31905	11.063	1	9.4971e-29	1.8994e-28	8.5474e-26	True
s_1167_r1	MAP3K8	5489.7	2866	5489.7	2866	-0.93746	3.4419e+06	56363	11.052	1.0777e-28	1	2.1554e-28	9.0063e-26	False
